id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6860,Downtown Charmer - 17 Mins to NYC!,16038,Festive,,Ward E (councilmember James Solomon),40.72613,-74.04811,Entire home/apt,163,2,41,8/16/2019,0.77,3,236
26154,"Beautiful apt., 10 min subway ride to Manhattan",102760,Javier,,Ward C (councilmember Richard Boggiano),40.73093,-74.06988,Entire home/apt,135,5,19,7/1/2019,0.24,1,304
40669,Skyy’s Lounge / Cozy,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73742,-74.05255,Private room,82,3,9,1/1/2019,0.08,2,350
58350,HUGE PENTHOUSE LUXURY!!,279101,Martin,,Ward E (councilmember James Solomon),40.72119,-74.04085,Entire home/apt,395,15,2,8/16/2018,0.02,1,362
72548,"Jersey City, 1-Bedroom Garden Apt.",190600,Susan And Ivan,,Ward F (councilmember Jermaine D. Robinson),40.71386,-74.06325,Entire home/apt,90,7,85,10/22/2018,0.83,1,273
81066,BNB by NYC: You own 2Floors & 5 Room...Spread Out!,439043,Juliet,,Ward B (councilmember Mira Prinz-Arey),40.71055,-74.08522,Private room,189,1,0,,,2,341
82797,Amazing Jersey City Apartment!,450770,Molly,,Ward E (councilmember James Solomon),40.71645,-74.04183,Entire home/apt,100,7,9,4/26/2019,0.18,1,0
146144,Shared Room,266070,Patricia,,Ward E (councilmember James Solomon),40.71077,-74.03833,Shared room,200,2,0,,,1,365
215768,Minutes to Manhattan & Jersey Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71663,-74.05799,Entire home/apt,95,6,117,9/20/2019,1.19,3,325
249836,King Bed / Priv Bath /  Min to Time Sq/Lock/ WiFi,1288340,Bozena,,Ward D (councilmember Michael Yun),40.75869,-74.05043,Private room,50,2,163,9/8/2019,1.69,4,317
251891,Cozy Shared Room /Free WiFi/Min  To Time Sq,1288340,Bozena,,Ward D (councilmember Michael Yun),40.75704,-74.04946,Shared room,30,1,136,9/8/2019,1.42,4,323
251893,Private Room /Lock /Free WiFi/minutes to Time SQ,1288340,Bozena,,Ward D (councilmember Michael Yun),40.75746,-74.05076,Private room,35,1,170,9/23/2019,1.77,4,325
254245,Minutes to Manhattan and NJ Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71019,-74.06026,Entire home/apt,95,6,108,9/21/2019,1.13,3,335
269266,Modern private 2 bedrooms apt minutes to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71266,-74.06329,Entire home/apt,80,2,328,9/25/2019,3.43,8,337
270245,Private room with own bathroom close to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71203,-74.06532,Private room,35,3,209,9/23/2019,2.2,8,306
271255,Large Room with private bathroom min to Manhattan,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71258,-74.06284,Private room,55,2,242,9/25/2019,2.66,8,342
419313,1500sf 1BR Loft: Open Plan+NYC View,2085317,Arman,,Ward E (councilmember James Solomon),40.72196,-74.04157,Entire home/apt,450,1,33,5/5/2019,0.38,4,364
419426,160sq/ft bedroom 10min to New York,2085980,Isabelle,,Ward E (councilmember James Solomon),40.72072,-74.04637,Private room,75,7,18,11/18/2018,0.2,1,33
429501,Studio Minutes From Downtown Manhattan NYC,2134877,Judith&Nansha,,Ward B (councilmember Mira Prinz-Arey),40.7137,-74.08655,Entire home/apt,85,7,60,7/23/2019,0.67,4,244
463034,Junior Bedroom near NYC,2134877,Judith&Nansha,,Ward B (councilmember Mira Prinz-Arey),40.70907,-74.08491,Private room,55,15,27,11/21/2018,0.3,4,121
504135,Private Room Minutes from NYC,2134877,Judith&Nansha,,Ward B (councilmember Mira Prinz-Arey),40.71155,-74.0843,Private room,65,15,18,9/6/2019,0.2,4,247
508581,7 MIN TO MANHATTAN - LARGE APT,2506890,Zachary,,Ward E (councilmember James Solomon),40.71979,-74.04549,Entire home/apt,155,4,51,9/11/2019,0.58,2,354
535764,Your Own Apartment Two Stops Away,2632534,Mike,,Ward E (councilmember James Solomon),40.7268,-74.04791,Entire home/apt,110,7,126,9/28/2019,1.42,2,30
565677,LARGE SUNNY ROOM 15 MIN to NYC !,2781587,Christopher,,Ward E (councilmember James Solomon),40.72137,-74.04642,Private room,49,2,328,9/18/2019,3.78,1,161
675483,Room & Private Bath~Minutes to NYC!,2259684,Leigh,,Ward E (councilmember James Solomon),40.72268,-74.04251,Private room,85,3,283,9/15/2019,3.3,1,51
694030,Large Penthouse w/ Deck & NYC Views,2085317,Arman,,Ward E (councilmember James Solomon),40.72114,-74.04176,Entire home/apt,275,2,5,3/7/2016,0.06,4,365
752112,A Lovely Apartment Two Stops Away,2632534,Mike,,Ward E (councilmember James Solomon),40.72679,-74.0491,Entire home/apt,99,7,155,9/11/2019,1.84,2,96
818075,Lovely Apartment - close to NYC,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.73889,-74.05091,Entire home/apt,85,3,104,9/24/2019,1.29,1,321
819782,Rooftop Loft with Manhattan Views,4305349,Ron,,Ward D (councilmember Michael Yun),40.74791,-74.042,Private room,100,1,4,5/31/2019,0.33,1,360
829089,Great Apt. 10 min from Manhattan,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.7172,-74.04587,Entire home/apt,125,5,200,9/28/2019,2.45,3,31
938292,New apt in downtown JC minutes away from Manhattan,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72479,-74.0499,Entire home/apt,95,10,6,9/20/2019,0.16,2,51
946048,Newly renovated small studio,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72319,-74.04842,Entire home/apt,55,15,20,9/13/2019,0.54,2,43
949440,"Bright Garden Studio loft, 15 minutes to NYC",3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72681,-74.06411,Entire home/apt,75,6,44,8/30/2019,0.59,1,348
965750,"Calming room, Comfy bed, Caring host",1407560,Dawn,,Ward E (councilmember James Solomon),40.7362,-74.03975,Private room,75,4,143,9/13/2019,1.9,2,154
971427,Nice Apt -10 minutes to Manhattan,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.71761,-74.04405,Entire home/apt,105,5,216,9/26/2019,2.72,3,125
991435,UBliss Luxury Studio-7 mins to NYC,4920221,UBliss,,Ward E (councilmember James Solomon),40.71373,-74.0363,Entire home/apt,185,2,32,6/11/2019,0.41,6,175
999808,Huge Luxury Loft Share Downtown JC,972698,Neelum,,Ward F (councilmember Jermaine D. Robinson),40.71739,-74.05019,Private room,90,3,15,11/8/2018,0.19,1,120
1014258,Top floor apt w deck in Jersey City,5579774,Shannon,,Ward C (councilmember Richard Boggiano),40.73765,-74.04952,Entire home/apt,100,7,7,5/5/2019,0.11,1,220
1026471,2 BEDROOM 7 MINUTES TO MANHATTAN,2506890,Zachary,,Ward E (councilmember James Solomon),40.71726,-74.04398,Entire home/apt,160,4,48,9/14/2019,0.62,2,349
1167962,Urban Luxury Studio Apartment - 7 Min NewYork City,4920221,UBliss,,Ward E (councilmember James Solomon),40.71771,-74.03924,Entire home/apt,169,2,8,6/24/2019,0.28,6,364
1189921,Entire home/apt in Downtown Jersey,6504526,Ken,,Ward F (councilmember Jermaine D. Robinson),40.71,-74.05907,Entire home/apt,200,6,0,,,1,365
1194973,Luxury UBLISS Apartment on Waterfront near NYC,4920221,UBliss,,Ward E (councilmember James Solomon),40.71396,-74.03678,Entire home/apt,189,2,23,5/5/2019,0.3,6,365
1222885,Luxury 1 BR on Waterfront,4920221,UBliss,,Ward E (councilmember James Solomon),40.7152,-74.03652,Entire home/apt,199,15,4,7/18/2019,0.07,6,365
1222901,UBliss Luxury Studio-7 mins to NYC,4920221,UBliss,,Ward E (councilmember James Solomon),40.71591,-74.0364,Entire home/apt,179,1,11,6/11/2018,0.25,6,364
1232190,Urban Luxury Studio Downtown - 5 min to NYC,4920221,UBliss,,Ward E (councilmember James Solomon),40.71742,-74.03994,Entire home/apt,179,1,4,6/18/2019,0.21,6,365
1269802,Modern Clean 1 Bedroom - Jersey City,1475855,Tanya,,Ward B (councilmember Mira Prinz-Arey),40.72369,-74.07131,Private room,120,2,0,,,1,363
1276863,Luxury Waterfront Apartment,6949940,Beata,,Ward E (councilmember James Solomon),40.71355,-74.03374,Entire home/apt,125,6,145,9/13/2019,1.91,1,344
1280528,Fantastic room with private bathroom close NYC!,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71225,-74.06496,Private room,50,2,199,9/22/2019,2.61,8,344
1282183,(3) 24/7 Train Station 10 mins Ride to Manhattan,1513389,Paul,,Ward C (councilmember Richard Boggiano),40.72972,-74.06977,Private room,60,1,49,5/27/2019,0.65,12,353
1282198,(4) 24/7 Train Station 10 mins Ride to Manhattan,1513389,Paul,,Ward C (councilmember Richard Boggiano),40.7294,-74.06896,Private room,50,1,70,7/8/2019,0.92,12,360
1317848,Minutes to Manhattan,7158723,James,,Ward F (councilmember Jermaine D. Robinson),40.71228,-74.07474,Private room,46,1,37,9/8/2019,0.5,2,341
1340416,Junior Bedroom near Manhattan,2134877,Judith&Nansha,,Ward B (councilmember Mira Prinz-Arey),40.71205,-74.08605,Private room,55,15,10,4/4/2018,0.13,4,363
1355054,1 Bed 1Bath Penthouse360RooftopDeck,7354388,David,,Ward F (councilmember Jermaine D. Robinson),40.71198,-74.05905,Private room,150,4,2,6/16/2015,0.03,1,364
1560203,New 1 bedroom with pool 10 min from Manhattan,5379684,Nathalie,,Ward F (councilmember Jermaine D. Robinson),40.72061,-74.05058,Entire home/apt,130,4,107,9/8/2019,1.46,1,248
1583556,Exposed Brick Brownstone Apt!,8347290,Amer,,Ward B (councilmember Mira Prinz-Arey),40.72096,-74.07383,Entire home/apt,89,2,169,9/15/2019,2.48,2,141
1660696,"Wood Floors, Jacuzzi, NYC views 3BR/1BA",915721,Ray,,Ward F (councilmember Jermaine D. Robinson),40.71063,-74.07004,Entire home/apt,130,28,31,8/10/2019,0.44,3,85
1689068,Modern Artist loft in Jersey City - minutes to NYC,995128,Peter,,Ward D (councilmember Michael Yun),40.74235,-74.04666,Entire home/apt,180,30,0,,,1,179
1746649,Accross The Hudson Friendship House,9192501,Sharlene,,Ward C (councilmember Richard Boggiano),40.73844,-74.04957,Private room,45,1,153,7/22/2019,2.17,4,354
1751505,Stone's throw from NYC & Hoboken,9213861,Andy,,Ward A (councilmember Denise Ridley),40.69279,-74.08859,Private room,95,90,1,12/30/2014,0.02,4,343
1764036,Manhattan in Minutes,7158723,James,,Ward F (councilmember Jermaine D. Robinson),40.71156,-74.07323,Private room,27,2,20,9/30/2019,0.74,2,285
1767237,DHS at Paulus Hook 1 BR - Royal,291908,Dharma,,Ward E (councilmember James Solomon),40.71512,-74.03665,Entire home/apt,300,3,3,12/15/2017,0.05,23,365
1768211,Dharma Jersey City Paulus Hook P2BR Lime,291908,Dharma,,Ward E (councilmember James Solomon),40.7156,-74.03533,Entire home/apt,375,3,30,9/11/2018,0.43,23,50
1771644,Dharma Jersey City at Grove Station 1 BR,291908,Dharma,,Ward E (councilmember James Solomon),40.71976,-74.04271,Entire home/apt,245,3,1,9/29/2016,0.03,23,342
1772623,Suite with Statue of Liberty View,291908,Dharma,,Ward E (councilmember James Solomon),40.71238,-74.03373,Entire home/apt,300,15,2,9/6/2018,0.03,23,365
1776610,DHS at Exchange Place 1 BR Suite,291908,Dharma,,Ward E (councilmember James Solomon),40.72008,-74.02939,Entire home/apt,300,3,7,10/27/2018,0.12,23,362
1777052,DHS at Exchange Place 2 BR Suite,291908,Dharma,,Ward E (councilmember James Solomon),40.71825,-74.03023,Entire home/apt,345,3,11,2/11/2019,0.15,23,349
1879541,Beautiful apartment for your next NYC trip,4066032,Susie,,Ward E (councilmember James Solomon),40.7158,-74.04391,Entire home/apt,125,3,15,9/30/2017,0.23,1,82
1897262,Lux Jersey City 2 Bedroom Apt w/Pool & WiFi,9419684,Mike,,Ward E (councilmember James Solomon),40.7239,-74.03646,Entire home/apt,251,2,7,9/2/2017,0.14,47,92
1900765,Lux Jersey City Studio w/ Pool & WiFi,9419684,Mike,,Ward E (councilmember James Solomon),40.72356,-74.03756,Entire home/apt,200,2,0,,,47,86
1979948,WATERFRONT Home on HUDSON w/ NYC View - 2bd/2ba,10218152,O. Shirle,,Ward E (councilmember James Solomon),40.71914,-74.03157,Entire home/apt,300,3,75,9/14/2019,1.07,1,310
2032676,1 BR Suite with Fabulous  View!,291908,Dharma,,Ward E (councilmember James Solomon),40.71373,-74.0345,Entire home/apt,275,14,1,9/9/2018,0.08,23,354
2062476,A room in private house - 20-35 minutes  from NYC,10554940,Vicky,,Ward F (councilmember Jermaine D. Robinson),40.70946,-74.07432,Private room,16,1,145,9/12/2019,7.92,1,90
2086222,Beautiful Artists Home JSQ near NYC,2615339,Nathan,,Ward B (councilmember Mira Prinz-Arey),40.72929,-74.07324,Entire home/apt,140,1,78,9/13/2019,1.75,4,198
2091779,"15 min to NYC, Amazing skyline views!",10618855,Robert,,Ward E (councilmember James Solomon),40.72721,-74.03303,Entire home/apt,155,3,103,9/18/2019,1.47,1,245
2104579,Across The Hudson Guesthouse,9192501,Sharlene,,Ward C (councilmember Richard Boggiano),40.73732,-74.04903,Private room,55,1,74,12/28/2018,1.05,4,280
2147906,"2 BR APT. Jersey City, Heights close to NYC!",10963325,Jose,,Ward C (councilmember Richard Boggiano),40.73987,-74.05443,Entire home/apt,125,2,185,9/21/2019,5.52,1,322
2149271,"DWTN Jersey City Art Studio Apt w/ yard, long term",10969148,Colby,,Ward E (councilmember James Solomon),40.72612,-74.04989,Entire home/apt,114,6,11,9/14/2019,0.33,1,331
2151024,Spacious Industrial Loft--Parking--Minutes to NYC,10978336,Michael,,Ward C (councilmember Richard Boggiano),40.74013,-74.04638,Entire home/apt,300,2,38,9/16/2019,0.58,1,329
2176306,"Dr Norton House@Lincoln Park JC,NJ",11099485,Stephen,,Ward B (councilmember Mira Prinz-Arey),40.71987,-74.07382,Entire home/apt,129,3,124,8/22/2019,1.86,1,350
2227861,"Cozy Private rm in Jersey City, mins to Manhattan",11369577,Mat,,Ward E (councilmember James Solomon),40.72509,-74.04261,Private room,85,1,8,9/24/2018,0.44,1,2
2243687,Lux Jersey City 1 Bedroom Apt w/Pool & WiFi,9419684,Mike,,Ward E (councilmember James Solomon),40.72365,-74.03602,Entire home/apt,233,2,5,6/24/2016,0.08,47,90
2243736,Lux Jersey City 2 Bedroom Apt w/Pool & WiFi,9419684,Mike,,Ward E (councilmember James Solomon),40.72333,-74.03595,Entire home/apt,332,2,4,10/10/2018,0.09,47,88
2284989,Historic Brownstone in Jersey City,11672367,Michelle & Michael,,Ward F (councilmember Jermaine D. Robinson),40.71962,-74.0737,Private room,150,2,4,7/20/2015,0.07,1,364
2291394,"Jersey City Jazz House, Brownstone",11380170,Alcee & Reggie,,Ward F (councilmember Jermaine D. Robinson),40.7168,-74.07616,Entire home/apt,110,2,93,9/22/2019,1.48,1,329
2326052,"1 bedroom unit, private bath",11882015,Steve,,Ward F (councilmember Jermaine D. Robinson),40.71202,-74.05754,Private room,69,7,9,6/23/2019,0.15,1,0
2445333,"3 br,3 bth,yard,manhattan in mins!",2523425,Dave,,Ward E (councilmember James Solomon),40.71636,-74.04772,Entire home/apt,299,3,106,8/17/2019,1.6,2,307
2520640,NYC & Hudson River views (2 BR),12904260,Ramon,,Ward E (councilmember James Solomon),40.7149,-74.03435,Entire home/apt,195,28,2,5/31/2019,0.17,1,333
2662979,Room with private bathroom min to Manhattan,1410590,Magda,,Ward E (councilmember James Solomon),40.72419,-74.05002,Private room,60,2,284,9/24/2019,4.27,8,1
2663502,Big room with private bathroom close to Manhatta,1410590,Magda,,Ward E (councilmember James Solomon),40.7243,-74.05055,Private room,60,2,303,9/27/2019,4.56,8,282
2866703,1 Bedroom Skyline View,14653086,Thomas,,Ward E (councilmember James Solomon),40.71702,-74.03468,Entire home/apt,180,4,56,9/25/2019,0.94,1,88
2867497,(1) 24/7 Train Station 10 mins Ride to Manhattan,1513389,Paul,,Ward C (councilmember Richard Boggiano),40.73081,-74.06816,Private room,60,1,39,7/10/2019,0.61,12,345
2879634,Beautiful apartment+extras NYC area,14717157,Dana & Guy,,Ward F (councilmember Jermaine D. Robinson),40.71126,-74.06053,Entire home/apt,90,3,193,9/7/2019,3.61,1,311
2896978,Downtown JC Apt - Easy Acces to NYC,14806038,Neil,,Ward E (councilmember James Solomon),40.72413,-74.04725,Entire home/apt,115,4,87,9/12/2019,1.34,1,330
2979158,Comfy Artsy room 10 Min NYC,15194851,Yuzzy,,Ward C (councilmember Richard Boggiano),40.72628,-74.06352,Private room,70,4,1,9/22/2014,0.02,1,364
3069320,929 sq 1/1  in super location,8120094,Qin,,Ward E (councilmember James Solomon),40.7131,-74.03476,Entire home/apt,170,7,8,6/1/2015,0.12,1,364
3132012,3. 20 Minutes to NYC-4BR Duplex,1788818,Linda,,Ward D (councilmember Michael Yun),40.75022,-74.03889,Entire home/apt,300,4,72,9/15/2019,1.2,1,326
3173286,Great Room in Cozy Apartment Close to Path,16092180,Valerie,,Ward C (councilmember Richard Boggiano),40.73291,-74.06744,Private room,65,4,55,10/14/2018,1.55,1,0
3193538,Lrg Garden Studio w/Yard in 1843 RH,16186604,Edward,,Ward E (councilmember James Solomon),40.71492,-74.04007,Entire home/apt,99,3,186,9/27/2019,3.82,2,232
3220093,"Easy NYC access @ Station, SPACIOUS",16307096,Jesus And Maria,,Ward C (councilmember Richard Boggiano),40.73479,-74.06112,Entire home/apt,225,3,61,8/24/2019,0.96,1,299
3226859,Cozy guest BD very close to NYC,16333334,Manu,,Ward E (councilmember James Solomon),40.71806,-74.0366,Private room,48,1,19,3/17/2019,0.5,1,0
3415871,Designer Loft 10 mins to Manhattan ,1231678,T,,Ward B (councilmember Mira Prinz-Arey),40.72787,-74.07708,Entire home/apt,195,3,0,,,2,263
3487433,Waterfront Loft - 7 mins to NYC!,16038,Festive,,Ward E (councilmember James Solomon),40.71721,-74.03863,Entire home/apt,299,6,9,8/13/2018,0.18,3,177
3510814,Beautiful Waterfront Condo,1835122,Abdullah,,Ward E (councilmember James Solomon),40.71344,-74.0359,Entire home/apt,135,28,7,6/1/2018,0.13,1,348
3585177,Downtown 2BR Duplex - 17 Min to NYC,16038,Festive,,Ward E (councilmember James Solomon),40.72704,-74.04634,Entire home/apt,245,2,61,9/7/2019,1,3,254
3591109,Cozy Bedroom with pvt Bath. PATH ,15044828,Sam,,Ward E (councilmember James Solomon),40.71686,-74.04258,Private room,95,1,45,3/15/2019,0.72,2,303
3614886,very clean studio  NO SHARE,2588186,Massimo,,Ward A (councilmember Denise Ridley),40.70353,-74.09604,Entire home/apt,70,7,39,8/24/2019,0.63,5,351
3615936,Cozy Loft Space In Funky Jersey City Record Store!,1099268,Stephen,,Ward E (councilmember James Solomon),40.72373,-74.04994,Entire home/apt,56,2,96,2/25/2019,1.53,1,12
3623729,"Safe, Clean, Minutes from NYC train",1407560,Dawn,,Ward E (councilmember James Solomon),40.73615,-74.04062,Private room,70,4,97,9/6/2019,1.54,2,150
3655301,1st Floor Brownstone in Jersey City,18494549,Manuel,,Ward F (councilmember Jermaine D. Robinson),40.71869,-74.0675,Entire home/apt,89,1,345,9/16/2019,5.47,2,129
3674016,Downtown renovated loft - steps to NYC!,318287,Cindy,,Ward E (councilmember James Solomon),40.72764,-74.04105,Entire home/apt,125,6,86,9/12/2019,1.37,3,337
3688368,Jersey City LOFT- Close to Lower NYC,18766448,Lili,,Ward E (councilmember James Solomon),40.72092,-74.03868,Entire home/apt,123,6,9,7/21/2019,0.15,1,0
3747069,3 bedroom Le Beinvenue 5min walk to path train,2588186,Massimo,,Ward C (councilmember Richard Boggiano),40.73297,-74.06844,Entire home/apt,99,4,41,9/24/2019,0.7,5,338
3867097,Lux 1 Bedroom w/wifi at Newport Jersey City,9419684,Mike,,Ward E (councilmember James Solomon),40.72231,-74.03776,Entire home/apt,208,2,4,10/12/2015,0.07,47,91
3867660,Lux 2 Bedroom w/wifi at Newport Jersey City,9419684,Mike,,Ward E (councilmember James Solomon),40.72347,-74.03725,Entire home/apt,263,2,1,10/13/2015,0.02,47,92
4007369,Charming Home (3bd/2ba)(6-8ppl),19341950,Roosevelt,,Ward B (councilmember Mira Prinz-Arey),40.71626,-74.08065,Entire home/apt,100,2,180,9/18/2019,3.05,4,133
4024613,Private Garden Apt w NYC Views&minutes away!,20864870,Suzanne&Jeffrey,,Ward D (councilmember Michael Yun),40.74575,-74.04273,Entire home/apt,98,4,137,9/25/2019,2.32,1,205
4039058,Lux Studio w/wifi at Newport Jersey City,9419684,Mike,,Ward E (councilmember James Solomon),40.72351,-74.03643,Entire home/apt,194,2,1,3/29/2016,0.02,47,90
4198514,Modern 3 Bdr with great Reviews,21781738,Robert,,Ward D (councilmember Michael Yun),40.75558,-74.04381,Entire home/apt,275,5,17,5/6/2018,0.33,1,83
4309770,"Le Piccoline  studio , NO SHARE apt",2588186,Massimo,,Ward A (councilmember Denise Ridley),40.7053,-74.09723,Entire home/apt,65,4,49,9/23/2019,0.82,5,344
4356384,Private Home 10 Mins from NYC!,22247563,Jonathan,,Ward E (councilmember James Solomon),40.71959,-74.04056,Entire home/apt,109,29,137,7/1/2019,2.34,1,91
4368694,Only 7 minutes to Manhattan!,846837,Charlaine,,Ward E (councilmember James Solomon),40.72385,-74.0452,Entire home/apt,125,6,66,9/23/2019,1.11,3,328
4384868,Lux Jersey City 1 Bedroom Apt w/Pool & WiFi,9419684,Mike,,Ward E (councilmember James Solomon),40.72461,-74.03798,Entire home/apt,233,2,2,9/23/2016,0.04,47,90
4518114,7 min ride to NewYork!entire place by Grove street,15625009,Anders,,Ward E (councilmember James Solomon),40.72533,-74.05162,Entire home/apt,69,1,159,9/5/2019,2.79,3,165
4530860,QuickTrip to NYC & Hoboken in J.C.,9213861,Andy,,Ward A (councilmember Denise Ridley),40.69156,-74.08962,Entire home/apt,95,90,0,,,4,318
4533527,Huge Modern 2-level LOFT + Terrace,1985408,Cristina,,Ward F (councilmember Jermaine D. Robinson),40.71095,-74.05962,Entire home/apt,245,60,5,7/26/2015,0.09,1,302
4536278,REAL Close to NYC & Hoboken in J.C.,9213861,Andy,,Ward A (councilmember Denise Ridley),40.69135,-74.08956,Entire home/apt,95,90,0,,,4,212
4582869,Historic Downtown Jersey City,15356305,Jennifer,,Ward E (councilmember James Solomon),40.7229,-74.04496,Entire home/apt,140,2,152,9/28/2019,2.57,1,238
4612761,Lux 2 Bedroom w/wifi at Newport Jersey City,9419684,Mike,,Ward E (councilmember James Solomon),40.72371,-74.03802,Entire home/apt,263,2,4,6/7/2019,0.07,47,92
4620162,Luxury Studio in Modern High-rise w/STUNNING VIEWS,12767814,Patricia,,Ward E (councilmember James Solomon),40.71997,-74.03494,Entire home/apt,200,3,2,8/30/2019,1.58,1,94
4634568,Across The Hudson Guest Room,9192501,Sharlene,,Ward C (councilmember Richard Boggiano),40.73788,-74.04977,Private room,45,1,95,8/6/2019,1.62,4,352
4641306,"AT MINUTES to NYC - 2 BR, 10 mins to Manhattan",1267651,Viktoria,,Ward E (councilmember James Solomon),40.72021,-74.04354,Entire home/apt,69,3,142,9/25/2019,2.46,7,303
4649473,Spacious and modern alcove studio with king bed,24069255,Nikolaus,,Ward E (councilmember James Solomon),40.71871,-74.04617,Entire home/apt,109,2,92,9/19/2019,1.59,1,294
4654169,Charming New Contemporary Home,19341950,Roosevelt,,Ward B (councilmember Mira Prinz-Arey),40.71656,-74.07837,Entire home/apt,105,2,89,9/8/2019,1.82,4,135
4696054,Well-Situated 3 Bed + 3 Bath Duplex,2085317,Arman,,Ward E (councilmember James Solomon),40.71722,-74.04207,Entire home/apt,198,2,133,8/24/2019,2.3,4,348
4714339,"Quality condo, close enough to NYC",17761031,Sammy,,Ward B (councilmember Mira Prinz-Arey),40.72604,-74.07089,Entire home/apt,110,3,98,9/24/2019,1.8,1,68
4743300,Best NYC Skyline View /Private Bath,5823558,Eugen,,Ward E (councilmember James Solomon),40.7273,-74.03103,Private room,299,23,40,10/30/2016,0.68,2,29
4758739,Sunny and Spacious Private Room,24554979,Jilsarah,,Ward E (councilmember James Solomon),40.72083,-74.04406,Private room,90,60,6,11/22/2015,0.12,2,173
4762870,Private Room in Historical Downtown Jersey City.,24574730,Helena,,Ward E (councilmember James Solomon),40.72299,-74.05083,Private room,42,2,3,9/7/2018,0.18,1,86
4881278,New York Area 1 BR Spacious Suite,4140161,Corporate,,Ward E (councilmember James Solomon),40.73517,-74.04387,Entire home/apt,499,7,9,8/2/2019,0.17,20,316
4949896,Luxury Historic Industrial Condo,23641521,Jessica,,Ward C (councilmember Richard Boggiano),40.7392,-74.04847,Entire home/apt,133,180,20,1/6/2018,0.35,1,365
5029654,Best NYC Skyline View ~Private Bath,5823558,Eugen,,Ward E (councilmember James Solomon),40.72608,-74.03061,Private room,299,23,42,11/27/2016,0.73,2,365
5192752,Lux Jersey City 1 Bedroom Apt w/Pool & WiFi,9419684,Mike,,Ward E (councilmember James Solomon),40.72257,-74.03766,Entire home/apt,203,2,12,12/5/2018,0.25,47,90
5193098,Lux Jersey City 1 Bedroom Apt w/Pool & WiFi,9419684,Mike,,Ward E (councilmember James Solomon),40.72202,-74.0356,Entire home/apt,233,2,0,,,47,90
5193707,Lux Jersey City 1 Bedroom Apt w/Pool & WiFi,9419684,Mike,,Ward E (councilmember James Solomon),40.72183,-74.03659,Entire home/apt,203,2,5,5/26/2019,0.11,47,90
5211401,Lux 1 Bedroom w/wifi at Newport Jersey City,9419684,Mike,,Ward E (councilmember James Solomon),40.72307,-74.03644,Entire home/apt,208,2,4,5/27/2017,0.07,47,91
5406133,15mins NYC | JC near Grove St. Path,2882956,Leilani,,Ward E (councilmember James Solomon),40.71708,-74.04399,Private room,39,4,75,8/18/2019,1.35,1,69
5665245,5 STAR - 5-8  MINS TO MANHATTAN,1231678,T,,Ward E (councilmember James Solomon),40.7202,-74.04324,Entire home/apt,110,3,6,9/8/2019,0.11,2,14
5697167,"Cute, Cozy Walk to Restaurants & Shops- 1 Stop NYC",19046403,Michael,,Ward E (councilmember James Solomon),40.72481,-74.04994,Entire home/apt,110,1,154,8/13/2019,2.92,1,0
5697589,"385 ""NY"" Big modern room 5 min walk to Grove Path",6958867,Henry,,Ward E (councilmember James Solomon),40.72338,-74.04911,Private room,79,1,57,9/7/2019,1.04,31,306
5706875,Big Sunny room in a Luxury House WIFI close to NY,1410306,Eugene,,Ward E (councilmember James Solomon),40.72343,-74.04898,Private room,44,1,44,5/28/2019,0.81,27,97
5758802,Huge room Downtown Jersey City,6958867,Henry,,Ward E (councilmember James Solomon),40.72355,-74.04888,Private room,79,1,89,9/18/2019,1.69,31,351
